"date","geography","geography code","Industry: All categories: Industry; Age: All categories: Age 16 and over; measures: Value","Industry: All categories: Industry; Age: Age 16 to 24; measures: Value","Industry: All categories: Industry; Age: Age 25 to 34; measures: Value","Industry: All categories: Industry; Age: Age 35 to 49; measures: Value","Industry: All categories: Industry; Age: Age 50 to 64; measures: Value","Industry: All categories: Industry; Age: Age 65 and over; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: All categories: Age 16 and over; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: Age 16 to 24; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: Age 25 to 34; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: Age 35 to 49; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: Age 50 to 64; measures: Value","Industry: A, B, D, E Agriculture, energy and water; Age: Age 65 and over; measures: Value","Industry: C Manufacturing; Age: All categories: Age 16 and over; measures: Value","Industry: C Manufacturing; Age: Age 16 to 24; measures: Value","Industry: C Manufacturing; Age: Age 25 to 34; measures: Value","Industry: C Manufacturing; Age: Age 35 to 49; measures: Value","Industry: C Manufacturing; Age: Age 50 to 64; measures: Value","Industry: C Manufacturing; Age: Age 65 and over; measures: Value","Industry: F Construction; Age: All categories: Age 16 and over; measures: Value","Industry: F Construction; Age: Age 16 to 24; measures: Value","Industry: F Construction; Age: Age 25 to 34; measures: Value","Industry: F Construction; Age: Age 35 to 49; measures: Value","Industry: F Construction; Age: Age 50 to 64; measures: Value","Industry: F Construction; Age: Age 65 and over; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: All categories: Age 16 and over; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: Age 16 to 24; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: Age 25 to 34; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: Age 35 to 49; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: Age 50 to 64; measures: Value","Industry: G, I Distribution, hotels and restaurants; Age: Age 65 and over; measures: Value","Industry: H, J Transport and communication; Age: All categories: Age 16 and over; measures: Value","Industry: H, J Transport and communication; Age: Age 16 to 24; measures: Value","Industry: H, J Transport and communication; Age: Age 25 to 34; measures: Value","Industry: H, J Transport and communication; Age: Age 35 to 49; measures: Value","Industry: H, J Transport and communication; Age: Age 50 to 64; measures: Value","Industry: H, J Transport and communication; Age: Age 65 and over; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: All categories: Age 16 and over; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: Age 16 to 24; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: Age 25 to 34; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: Age 35 to 49; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: Age 50 to 64; measures: Value","Industry: K, L, M, N Financial, Real Estate, Professional and Administrative activities; Age: Age 65 and over; measures: Value","Industry: O, P, Q Public administration, education and health; Age: All categories: Age 16 and over; measures: Value","Industry: O, P, Q Public administration, education and health; Age: Age 16 to 24; measures: Value","Industry: O, P, Q Public administration, education and health; Age: Age 25 to 34; measures: Value","Industry: O, P, Q Public administration, education and health; Age: Age 35 to 49; measures: Value","Industry: O, P, Q Public administration, education and health; Age: Age 50 to 64; measures: Value","Industry: O, P, Q Public administration, education and health; Age: Age 65 and over; measures: Value","Industry: R, S, T, U Other; Age: All categories: Age 16 and over; measures: Value","Industry: R, S, T, U Other; Age: Age 16 to 24; measures: Value","Industry: R, S, T, U Other; Age: Age 25 to 34; measures: Value","Industry: R, S, T, U Other; Age: Age 35 to 49; measures: Value","Industry: R, S, T, U Other; Age: Age 50 to 64; measures: Value","Industry: R, S, T, U Other; Age: Age 65 and over; measures: Value"
"2011","E00004510","E00004510",178,16,59,56,34,13,1,0,0,1,0,0,1,0,0,0,1,0,7,0,2,1,2,2,15,3,7,4,1,0,27,1,9,10,6,1,62,3,24,21,11,3,46,5,14,12,8,7,19,4,3,7,5,0
"2011","E00004511","E00004511",185,11,52,56,59,7,0,0,0,0,0,0,2,0,1,0,0,1,3,0,0,2,1,0,7,1,2,2,2,0,31,2,8,12,8,1,71,2,22,21,26,0,52,3,14,14,16,5,19,3,5,5,6,0
"2011","E00004486","E00004486",136,10,26,44,45,11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,13,4,3,3,2,1,17,0,4,6,7,0,43,0,11,14,12,6,47,5,6,15,17,4,14,0,2,6,6,0
"2011","E00004487","E00004487",127,12,46,37,26,6,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,3,0,11,4,2,0,4,1,22,3,8,6,4,1,30,1,14,9,3,3,50,1,20,18,11,0,8,1,2,3,1,1
"2011","E00004489","E00004489",148,13,31,54,40,10,1,0,1,0,0,0,2,0,0,1,1,0,4,0,2,0,1,1,11,1,3,6,1,0,22,5,5,6,4,2,28,3,7,9,7,2,64,4,11,25,21,3,16,0,2,7,5,2
"2011","E00004490","E00004490",96,20,30,31,12,3,0,0,0,0,0,0,5,1,1,3,0,0,4,0,1,2,1,0,21,5,8,6,2,0,11,2,3,4,2,0,20,2,9,7,2,0,27,7,6,8,5,1,8,3,2,1,0,2
"2011","E00004491","E00004491",127,12,32,38,34,11,2,1,0,0,1,0,2,0,0,1,0,1,6,1,1,2,2,0,23,2,6,7,8,0,18,0,6,6,5,1,35,1,10,10,10,4,29,6,4,10,7,2,12,1,5,2,1,3
"2011","E00004517","E00004517",130,10,40,47,25,8,1,0,0,1,0,0,2,0,0,0,2,0,1,0,0,0,1,0,30,7,11,5,7,0,22,0,8,11,3,0,25,0,7,11,5,2,36,3,7,13,7,6,13,0,7,6,0,0
"2011","E00004492","E00004492",175,5,29,55,60,26,0,0,0,0,0,0,7,0,1,5,0,1,21,0,0,2,8,11,18,2,3,8,5,0,8,0,0,6,2,0,76,3,13,20,31,9,26,0,8,4,11,3,19,0,4,10,3,2
"2011","E00004494","E00004494",254,16,69,79,65,25,1,0,0,1,0,0,7,0,2,2,3,0,3,0,0,2,1,0,23,3,5,5,6,4,27,2,7,11,5,2,89,5,28,32,18,6,78,5,20,17,24,12,26,1,7,9,8,1
"2011","E00004495","E00004495",141,3,27,44,48,19,0,0,0,0,0,0,6,0,0,4,2,0,1,0,0,0,1,0,5,0,0,4,1,0,19,0,4,4,7,4,59,1,13,19,22,4,32,0,7,10,10,5,19,2,3,3,5,6
"2011","E00004496","E00004496",194,5,44,56,61,28,0,0,0,0,0,0,3,0,1,0,1,1,9,0,3,1,3,2,12,0,3,5,3,1,23,0,6,7,6,4,76,3,19,27,20,7,55,1,8,11,24,11,16,1,4,5,4,2
"2011","E00004499","E00004499",201,13,28,67,69,24,0,0,0,0,0,0,4,0,0,2,2,0,5,0,0,3,2,0,19,4,1,3,9,2,17,2,5,7,2,1,82,5,9,29,27,12,56,1,9,18,24,4,18,1,4,5,3,5
"2011","E00004411","E00004411",154,4,42,51,36,21,1,0,1,0,0,0,5,0,0,1,3,1,1,0,0,0,1,0,9,0,3,3,2,1,21,0,6,9,2,4,57,1,21,23,5,7,48,3,7,13,18,7,12,0,4,2,5,1
"2011","E00004412","E00004412",172,6,49,65,37,15,1,0,1,0,0,0,4,0,0,1,1,2,6,0,2,3,1,0,25,3,10,10,1,1,21,1,7,7,5,1,53,2,16,22,10,3,37,0,9,14,9,5,25,0,4,8,10,3
"2011","E00004414","E00004414",157,9,39,43,53,13,1,0,0,1,0,0,6,1,0,1,3,1,3,0,0,1,2,0,14,1,7,3,1,2,22,1,8,6,5,2,41,3,11,15,11,1,50,1,10,11,22,6,20,2,3,5,9,1
"2011","E00004416","E00004416",141,6,34,55,35,11,1,0,0,1,0,0,4,0,0,3,1,0,2,0,0,1,0,1,17,1,3,7,5,1,14,0,4,8,2,0,42,4,14,16,7,1,36,1,8,12,13,2,25,0,5,7,7,6
"2011","E00004418","E00004418",152,5,40,56,35,16,0,0,0,0,0,0,4,0,3,1,0,0,6,0,1,4,1,0,15,0,6,6,2,1,20,0,3,10,6,1,53,1,18,20,9,5,41,2,7,13,12,7,13,2,2,2,5,2
"2011","E00004423","E00004423",136,4,44,58,25,5,0,0,0,0,0,0,3,0,1,1,1,0,2,0,0,1,1,0,15,1,7,7,0,0,26,0,11,10,4,1,50,1,14,25,7,3,28,0,9,11,8,0,12,2,2,3,4,1
"2011","E00004401","E00004401",149,10,27,59,35,18,0,0,0,0,0,0,2,0,0,1,1,0,3,0,0,2,0,1,15,6,0,5,3,1,19,0,4,10,2,3,60,1,14,28,12,5,31,2,6,5,12,6,19,1,3,8,5,2
"2011","E00004404","E00004404",131,3,26,49,28,25,1,0,0,1,0,0,3,0,0,1,0,2,0,0,0,0,0,0,6,0,2,4,0,0,10,0,1,3,3,3,61,2,16,24,14,5,36,1,4,11,9,11,14,0,3,5,2,4
"2011","E00004417","E00004417",165,7,43,60,37,18,0,0,0,0,0,0,2,0,0,0,1,1,4,0,0,2,1,1,16,2,2,5,5,2,23,2,7,7,4,3,87,1,29,37,11,9,27,2,3,6,14,2,6,0,2,3,1,0
"2011","E00004421","E00004421",169,7,38,79,40,5,1,0,0,0,0,1,5,0,0,2,3,0,4,0,0,3,1,0,12,1,2,6,3,0,19,0,5,12,2,0,79,3,21,42,9,4,36,1,9,8,18,0,13,2,1,6,4,0
"2011","E00004429","E00004429",168,10,57,55,31,15,1,0,0,1,0,0,2,0,0,1,1,0,3,0,1,2,0,0,20,2,7,3,4,4,15,1,9,2,3,0,83,3,34,31,12,3,31,4,3,9,11,4,13,0,3,6,0,4
"2011","E00004409","E00004409",129,15,41,33,30,10,0,0,0,0,0,0,3,0,0,1,2,0,4,1,1,0,2,0,10,4,3,3,0,0,10,1,5,2,1,1,51,4,17,16,9,5,42,4,12,8,15,3,9,1,3,3,1,1
"2011","E00004410","E00004410",145,3,25,73,31,13,1,0,0,1,0,0,4,0,2,0,1,1,6,0,0,2,3,1,8,3,2,2,0,1,17,0,1,7,6,3,49,0,12,32,5,0,49,0,8,24,11,6,11,0,0,5,5,1
"2011","E00004415","E00004415",175,4,47,66,45,13,1,0,0,0,1,0,4,0,0,3,1,0,2,0,0,1,1,0,17,3,8,3,3,0,22,0,2,10,6,4,82,0,25,32,18,7,31,0,8,10,13,0,16,1,4,7,2,2
"2011","E00004419","E00004419",176,7,96,50,18,5,0,0,0,0,0,0,6,0,2,3,1,0,9,1,2,5,1,0,28,3,19,3,1,2,32,0,19,10,3,0,72,2,37,24,6,3,20,1,12,3,4,0,9,0,5,2,2,0
"2011","E00004422","E00004422",111,10,34,34,24,9,0,0,0,0,0,0,2,0,1,0,0,1,2,0,0,1,1,0,8,2,1,1,2,2,11,1,2,5,3,0,50,3,18,22,5,2,30,4,9,4,10,3,8,0,3,1,3,1
"2011","E00004428","E00004428",125,1,44,52,17,11,1,0,0,1,0,0,5,0,2,2,1,0,2,0,1,1,0,0,4,0,0,3,0,1,14,0,7,5,0,2,68,1,22,32,8,5,25,0,11,6,6,2,6,0,1,2,2,1
"2011","E00004430","E00004430",53,2,13,14,18,6,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,5,0,3,0,2,0,0,0,0,0,0,0,20,1,6,7,3,3,15,1,1,5,6,2,11,0,2,1,7,1
"2011","E00004402","E00004402",147,7,44,60,24,12,1,0,1,0,0,0,4,0,2,2,0,0,5,0,2,2,1,0,22,3,5,7,4,3,10,1,1,7,1,0,62,2,18,25,11,6,33,1,13,12,5,2,10,0,2,5,2,1
"2011","E00004420","E00004420",148,4,52,45,25,22,1,0,1,0,0,0,0,0,0,0,0,0,6,0,3,2,0,1,11,0,4,5,2,0,28,0,14,9,2,3,52,0,21,16,9,6,30,0,4,10,7,9,20,4,5,3,5,3
"2011","E00004424","E00004424",152,6,62,57,24,3,0,0,0,0,0,0,4,0,0,2,2,0,2,0,1,0,1,0,12,1,7,3,1,0,15,0,9,5,1,0,74,2,32,31,7,2,28,3,10,10,5,0,17,0,3,6,7,1
"2011","E00004425","E00004425",192,6,55,61,51,19,1,0,0,1,0,0,2,0,1,1,0,0,4,0,1,1,1,1,12,2,3,1,6,0,25,0,7,9,7,2,83,3,25,36,18,1,50,1,10,11,14,14,15,0,8,1,5,1
"2011","E00004426","E00004426",169,5,45,71,28,20,0,0,0,0,0,0,6,0,1,4,1,0,10,0,5,3,1,1,11,2,3,5,0,1,21,2,9,8,1,1,76,1,18,30,17,10,27,0,4,12,7,4,18,0,5,9,1,3
"2011","E00004427","E00004427",124,5,15,44,39,21,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,11,2,1,5,2,1,14,0,3,5,4,2,63,2,9,26,19,7,15,1,1,1,4,8,18,0,1,7,9,1
"2011","E00004403","E00004403",153,5,23,44,51,30,0,0,0,0,0,0,5,0,1,1,3,0,5,0,0,1,2,2,23,1,5,5,9,3,20,1,3,7,5,4,64,2,9,19,22,12,21,0,2,5,8,6,15,1,3,6,2,3
"2011","E00004405","E00004405",154,6,31,73,37,7,3,0,1,2,0,0,2,0,0,1,0,1,3,0,1,1,1,0,18,2,0,7,7,2,22,1,5,11,3,2,70,1,17,34,16,2,21,1,3,11,6,0,15,1,4,6,4,0
"2011","E00004406","E00004406",135,2,27,45,44,17,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,12,0,3,3,3,3,20,0,3,8,8,1,57,0,14,20,18,5,27,2,4,8,9,4,16,0,2,4,6,4
"2011","E00004407","E00004407",164,8,37,57,37,25,1,0,0,0,0,1,6,0,2,2,1,1,8,0,0,1,3,4,21,3,5,4,5,4,11,0,1,5,4,1,53,2,7,20,15,9,49,3,17,20,6,3,15,0,5,5,3,2
"2011","E00004408","E00004408",135,4,19,72,28,12,0,0,0,0,0,0,2,0,0,1,1,0,3,0,1,1,0,1,9,0,2,3,2,2,20,1,2,14,3,0,72,3,10,39,15,5,14,0,2,6,4,2,15,0,2,8,3,2
"2011","E00004413","E00004413",117,2,20,67,24,4,2,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,9,1,3,3,2,0,16,0,1,10,5,0,64,1,14,42,7,0,20,0,0,10,6,4,4,0,1,2,1,0
"2011","E00004483","E00004483",163,6,48,62,37,10,0,0,0,0,0,0,7,1,1,2,3,0,1,0,0,1,0,0,14,0,5,5,3,1,31,0,9,17,5,0,51,2,19,16,11,3,43,2,7,15,14,5,16,1,7,6,1,1
"2011","E00004485","E00004485",154,8,48,59,33,6,2,1,1,0,0,0,3,0,0,3,0,0,6,0,1,4,1,0,20,3,6,6,4,1,18,0,6,7,4,1,43,0,21,15,6,1,49,3,12,19,12,3,13,1,1,5,6,0
"2011","E00004513","E00004513",139,4,30,44,49,12,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,16,3,6,6,1,0,22,0,4,11,6,1,45,0,9,19,15,2,40,1,9,5,20,5,12,0,2,3,3,4
"2011","E00004514","E00004514",161,14,35,44,40,28,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,3,1,4,9,2,2,4,1,0,19,4,3,7,2,3,54,1,18,11,18,6,56,4,8,14,17,13,14,3,4,4,1,2
"2011","E00004516","E00004516",204,21,58,58,53,14,3,0,2,1,0,0,4,1,1,1,1,0,0,0,0,0,0,0,22,3,14,0,5,0,29,3,9,14,3,0,59,7,19,17,13,3,65,5,7,20,24,9,22,2,6,5,7,2
"2011","E00004484","E00004484",159,8,43,65,36,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,1,0,16,4,5,5,2,0,29,0,12,12,3,2,44,2,12,17,12,1,53,2,11,23,16,1,13,0,1,7,2,3
"2011","E00004488","E00004488",75,9,9,31,22,4,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,1,1,0,17,6,5,5,1,0,14,0,2,4,7,1,13,1,1,2,8,1,22,1,1,15,5,0,5,1,0,4,0,0
"2011","E00004512","E00004512",133,9,39,57,24,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,22,4,7,5,6,0,18,2,5,9,1,1,35,1,7,22,5,0,37,2,12,13,8,2,19,0,7,8,3,1
"2011","E00004515","E00004515",156,8,56,60,24,8,2,0,0,2,0,0,3,0,1,1,0,1,3,0,1,1,1,0,13,3,5,3,2,0,24,0,14,6,3,1,57,3,20,27,4,3,36,1,11,11,10,3,18,1,4,9,4,0
"2011","E00004518","E00004518",104,2,30,45,20,7,0,0,0,0,0,0,1,0,0,1,0,0,4,0,2,1,1,0,13,2,4,5,2,0,12,0,3,5,4,0,28,0,8,14,4,2,40,0,11,16,9,4,6,0,2,3,0,1
"2011","E00004519","E00004519",138,4,26,62,34,12,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,1,1,0,14,1,3,5,4,1,28,0,6,16,5,1,42,0,8,23,7,4,34,1,7,9,13,4,16,2,2,7,4,1
"2011","E00004575","E00004575",238,28,119,68,18,5,1,0,1,0,0,0,7,1,3,2,0,1,4,0,0,2,2,0,29,5,16,5,2,1,41,3,24,12,1,1,63,10,39,11,2,1,67,7,21,29,10,0,26,2,15,7,1,1
"2011","E00004578","E00004578",203,21,94,60,26,2,4,0,3,1,0,0,4,0,2,0,1,1,4,1,0,2,1,0,28,5,12,9,2,0,48,3,28,15,2,0,54,4,26,16,7,1,38,4,14,8,12,0,23,4,9,9,1,0
"2011","E00004580","E00004580",182,13,76,77,12,4,1,0,0,1,0,0,1,0,0,1,0,0,4,1,2,1,0,0,29,5,11,8,3,2,23,0,9,14,0,0,55,6,26,20,3,0,45,0,17,22,4,2,24,1,11,10,2,0
"2011","E00004581","E00004581",137,14,52,45,21,5,0,0,0,0,0,0,2,0,1,0,1,0,2,1,0,1,0,0,15,3,5,4,3,0,22,4,7,9,2,0,41,2,20,13,5,1,39,2,9,14,10,4,16,2,10,4,0,0
"2011","E00004582","E00004582",157,9,49,55,35,9,0,0,0,0,0,0,6,0,2,3,1,0,7,2,0,3,1,1,16,3,3,6,4,0,23,0,10,7,6,0,48,3,19,18,7,1,38,0,7,15,12,4,19,1,8,3,4,3
"2011","E00004593","E00004593",340,50,178,95,14,3,1,0,1,0,0,0,6,2,2,1,0,1,13,0,3,9,1,0,78,13,36,25,4,0,53,4,40,9,0,0,98,15,59,23,1,0,60,8,28,17,5,2,31,8,9,11,3,0
"2011","E00004587","E00004587",138,16,45,39,34,4,2,0,1,0,0,1,4,0,0,3,1,0,3,1,2,0,0,0,16,7,3,4,2,0,16,0,9,4,2,1,33,1,14,11,6,1,50,4,12,15,18,1,14,3,4,2,5,0
"2011","E00004589","E00004589",147,9,43,59,34,2,1,0,0,0,1,0,3,0,1,1,1,0,3,0,0,2,1,0,16,4,4,7,1,0,26,0,6,16,4,0,41,1,16,17,7,0,41,2,10,13,14,2,16,2,6,3,5,0
"2011","E00004590","E00004590",140,9,62,41,24,4,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,10,2,3,3,1,1,27,2,12,10,3,0,51,4,31,13,3,0,39,1,13,10,13,2,10,0,1,4,4,1
"2011","E00004592","E00004592",113,7,38,40,26,2,0,0,0,0,0,0,2,0,1,0,1,0,4,1,1,1,1,0,13,4,3,3,3,0,13,2,5,3,3,0,41,0,22,12,6,1,29,0,4,13,11,1,11,0,2,8,1,0
"2011","E00004595","E00004595",142,6,44,58,23,11,3,0,2,1,0,0,3,0,2,1,0,0,6,0,2,2,2,0,8,2,1,3,2,0,28,0,11,10,6,1,36,1,14,15,3,3,38,3,5,16,8,6,20,0,7,10,2,1
"2011","E00004596","E00004596",122,12,25,55,25,5,2,0,0,1,1,0,5,0,2,2,0,1,2,0,0,0,2,0,7,3,1,2,1,0,20,1,4,13,1,1,44,5,8,25,6,0,28,1,6,9,9,3,14,2,4,3,5,0
"2011","E00004576","E00004576",156,9,45,54,41,7,0,0,0,0,0,0,6,1,3,1,1,0,6,3,1,1,1,0,15,1,6,4,4,0,21,1,6,7,4,3,38,1,15,13,8,1,54,2,9,23,19,1,16,0,5,5,4,2
"2011","E00004577","E00004577",156,12,49,53,29,13,0,0,0,0,0,0,3,0,1,1,0,1,7,0,4,3,0,0,16,5,4,5,2,0,26,0,8,10,6,2,48,1,15,17,9,6,45,6,13,15,9,2,11,0,4,2,3,2
